contb_receipt_dt,"Bush, Jeb","Carson, Benjamin S.","Christie, Christopher J.","Clinton, Hillary Rodham","Cruz, Rafael Edward 'Ted'","Fiorina, Carly","Gilmore, James S III","Graham, Lindsey O.","Huckabee, Mike","Jindal, Bobby","Johnson, Gary","Kasich, John R.","Lessig, Lawrence","O'Malley, Martin Joseph","Pataki, George E.","Paul, Rand","Perry, James R. (Rick)","Rubio, Marco","Sanders, Bernard","Santorum, Richard J.","Stein, Jill","Trump, Donald J.","Walker, Scott","Webb, James Henry Jr."
2015-05-02,0.0,1775.0,0.0,85450.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-03,0.0,594.0,0.0,101580.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-04,0.0,15234.0,0.0,227167.12,400.0,15275.0,0.0,14100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4405.0,1250.0,0.0,0.0,0.0,0.0,0.0
2015-05-05,0.0,14230.0,0.0,324643.62,7220.0,775.0,0.0,0.0,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.75,0.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,0.0,4875.0,0.0,170431.22999999998,575.0,6460.0,0.0,13200.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.75,0.0,2125.0,1850.0,0.0,0.0,0.0,0.0,0.0
2015-05-07,0.0,11405.0,0.0,134276.0,1340.0,166.0,0.0,0.0,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,1125.0,0.0,0.0,0.0,0.0,600.0
2015-05-08,0.0,4825.0,0.0,156647.0,5287.0,0.0,0.0,5188.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,0.0,27365.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-09,0.0,860.0,0.0,19945.0,710.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-10,0.0,860.0,0.0,18425.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,500.0
2015-05-11,0.0,7485.0,0.0,68500.0,2059.0,650.0,0.0,4700.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.0,0.0,2603.0,2075.0,0.0,0.0,0.0,0.0,0.0
2015-05-12,0.0,13742.0,0.0,86066.0,893.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-13,0.0,7720.0,0.0,49090.78,1785.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,1390.0,900.0,0.0,0.0,0.0,0.0,0.0
2015-05-14,0.0,1810.0,0.0,40176.0,2020.0,775.0,0.0,250.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,3644.6,0.0,1897.0,700.0,0.0,0.0,0.0,0.0,0.0
2015-05-15,0.0,1810.0,0.0,42041.0,12716.0,22700.0,0.0,2700.0,3650.0,0.0,0.0,0.0,0.0,10350.0,0.0,2635.0,0.0,0.0,4950.0,0.0,0.0,0.0,0.0,0.0
2015-05-16,0.0,2670.0,0.0,11518.16,702.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,500.0,0.0,650.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-17,0.0,0.0,0.0,14120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,345.16,0.0,125.0,0.0,0.0,0.0,0.0,0.0,200.0
2015-05-18,0.0,5280.0,0.0,17652.32,1175.0,4700.0,0.0,250.0,1000.0,500.0,0.0,0.0,0.0,2700.0,0.0,1980.75,0.0,1725.0,500.0,0.0,0.0,0.0,0.0,0.0
2015-05-19,0.0,4120.0,0.0,26110.0,1350.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,571.0699999999999,0.0,10281.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-20,0.0,4950.0,0.0,19810.0,2370.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,39332.61,0.0,660.0,2650.0,0.0,0.0,0.0,0.0,720.16
2015-05-21,0.0,655.0,0.0,14026.0,4660.0,335.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,2700.0,0.0,1746.83,0.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-22,0.0,3535.0,0.0,18285.0,1640.0,3125.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,2700.0,0.0,2690.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
2015-05-23,0.0,90.0,0.0,6480.16,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-24,0.0,25.0,0.0,7885.0,250.0,25.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5400.0,0.0,1525.91,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1005.0
